curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
Luis Rivera Rosario,13334,"Rivera Rosario, Luis A",,review,4,owner-approved,"swapped name == alias | surname+initial (rosario,l)"
Mario Morales,1584,"Morales Micheo, Mario",,review,4,owner-approved,"swapped name == alias | surname+initial (morales,m)"
Mario «Quijote» Morales,1584,"Morales Micheo, Mario",,review,4,owner-approved,"nickname 'quijote' | surname+initial (morales,m)"
Michael J. Bruesewitz,13294,"Bruesewitz, Michael J.",,review,5,owner-approved,"curated name == alias | surname+initial (bruesewitz,m)"
Peter John Ramos,1836,"Ramos Fuentes, Peter John",2001-2020,review,5,owner-approved,"surname+initial (ramos,p) | decades overlap span 2001-2020 | club overlap"
Rigoberto Mendoza,13050,"Mendoza De la Rosa, Rigoberto",,review,4,owner-approved,"swapped name == alias | surname+initial (mendoza,r)"
Robert «Tractor» Traylor,2424,"Traylor, Robert",2007-2008,review,5,owner-approved,"surname+initial (traylor,r) | decades overlap span 2007-2008 | club overlap"
Roberto Ríos,2076,"Rios Osorio, Roberto",1978-2000,review,6,owner-approved,"swapped name == alias | surname+initial (rios,r) | decades overlap span 1978-2000"
Thomas Robinson,13297,"Robinson, Thomas",,review,8,owner-approved,"curated name == alias | swapped name == alias | surname+initial (robinson,t)"
Will Martinez,12981,"Martinez, Wil",2015-2017,review,4,owner-approved,"swapped initial == alias | surname+initial (martinez,w) | decades overlap span 2015-2017 | club MISMATCH ['caciques_humacao', 'gigantes_carolina'] vs ['atleticos_san_german']"
William Cruz Rodriguez,13115,"Cruz Rodriguez, William",2017-2017,review,5,owner-approved,"curated name == alias | swapped name == alias | surname+initial (rodriguez,w) | decades [2020] DISJOINT from span 2017-2017 | club MISMATCH ['piratas_quebradillas'] vs ['atleticos_san_german']"
Ángel Rodríguez,13175,"Rodriguez Tricoche, Angel Daniel",,review,4,owner-approved,"swapped name == alias | surname+initial (rodriguez,a)"
Admiral Schofield,,,,none,,,POOL
Akil Mitchell,,,,none,,,POOL; SEASON_AWARDS
Alejandro Ralat,,,,none,,,POOL
Alejandro Vazquez,,,,none,,,POOL
Alex Morales,,,,none,,,POOL
Alexander Kappos,,,,none,,,POOL
Alfonso Plummer,,,,none,,,POOL; SEASON_AWARDS
Alize Johnson,,,,none,,,POOL
Andre Curbelo,,,,none,,,POOL
André Curbelo,,,,none,,,SEASON_AWARDS
Angel Suero,,,,none,,,POOL
Anthony Cowan Jr,,,,none,,,POOL
Anthony Morales,,,,none,,,POOL
Antonio Gordon,,,,none,,,POOL
Archie Goodwin,,,,none,,,POOL
Arguster Daniels IV,,,,none,,,POOL
