curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
Jesse Pellot,2354,"Pellot Rosa, Jesse",2007-2017,auto,9,,"swapped name == alias | surname+initial (pellot,j) | scoring years 2009-2009 in span 2007-2017 | club overlap"
Jessie Govan,13311,"Govan, Jessie",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (govan,j)"
Jezreel De Jesus,2823,"De Jesús, Jezreel",2013-2013,auto,12,,"curated name == alias | swapped name == alias | surname+initial (jesus,j) | decades overlap span 2013-2013 | club overlap"
John Holland,2898,"Holland, John",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (holland,j)"
Jordan Howard,13200,"Howard, Jordan",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (howard,j)"
Jordan Murphy,13307,"Murphy, Jordan",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (murphy,j)"
Joshua Rivera,1291,"Rivera, Joshua",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (rivera,j)"
José «Piculín» Ortiz,1271,"Ortiz Rijos, Jose Rafael",,auto,12,,"birth year 1963 | bioFull == alias | nickname 'piculin' | surname+initial (ortiz,j)"
Juan «Pachín» Vicéns,1327,"Vicens Sastre, Juan",,auto,12,,"birth year 1934 | bioFull == alias | nickname 'pachin' | surname+initial (vicens,j)"
Julian Torres,13254,"Torres, Julian",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (torres,j)"
Justin Keenan,2824,"Keenan, Justin",2013-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (keenan,j) | decades overlap span 2013-2017 | club overlap"
Justin Reyes,13229,"Reyes, Justin",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (reyes,j)"
Kenneth Santos Velez,13320,"Santos Velez, Kenneth",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (velez,k)"
Kevin Maura Colon,13158,"Maura Colón, Kevin",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (colon,k)"
Khary Mauras,13329,"Mauras, Khary",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (mauras,k)"
Kristian Doolittle,13279,"Doolittle, Kristian",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (doolittle,k)"
Kyle Vinales,12950,"Viñales, Kyle",2015-2017,auto,9,,"curated name == alias | swapped name == alias | surname+initial (vinales,k) | decades overlap span 2015-2017 | club MISMATCH ['caciques_humacao', 'mets_guaynabo'] vs ['brujos_guayama', 'vaqueros_bayamon']"
Leandro Allende,13290,"Allende, Leandro",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (allende,l)"
Lee Benson,1429,"Benson, Lee",2004-2009,auto,10,,"curated name == alias | swapped name == alias | surname+initial (benson,l) | decades overlap span 2004-2009"
Leon Williams,2825,"Williams, Leon V.",2013-2013,auto,8,,"swapped name == alias | surname+initial (williams,l) | decades overlap span 2013-2013 | club overlap"
Luis Lopez Martinez,13217,"López Martínez, Luis",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (martinez,l)"
Mario Butler,1575,"Butler Graham, Mario Alberto",1980-2008,auto,14,,"birth year 1957 | bioFull == alias | swapped name == alias | surname+initial (butler,m) | decades overlap span 1980-2008"
Miguel Martinez,2632,"Martinez, Miguel",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (martinez,m)"
Mike Harris,2697,"Harris, Mike",2011-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (harris,m) | decades overlap span 2011-2017 | club overlap"
Mike Young,13167,"Young, Mike",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (young,m)"
Neftalí Rivera,1698,"Rivera Olivera, Neftali",1969-1983,auto,18,,"birth year 1948 | bioFull ~ alias (lev 1) | swapped name == alias | in player_id_map | surname+initial (rivera,n) | scoring years 1969-1973 in span 1969-1983 | club overlap"
Nick Minnerath,13202,"Minnerath, Nick",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (minnerath,n)"
Onzie Branch,12969,"Branch, Onzie",2015-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (branch,o) | decades [2020] DISJOINT from span 2015-2017 | club overlap"
Owen Perez,2776,"Perez, Owen",2013-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (perez,o) | decades [2020] DISJOINT from span 2013-2017 | club overlap"
Pablo Alicea,1774,"Alicea Rodriguez, Pablo",,auto,8,,"birth year 1963 | swapped name == alias | surname+initial (alicea,p)"
Paris Bass,13271,"Bass, Paris",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (bass,p)"
Phillip Wheeler,13270,"Wheeler, Phillip",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (wheeler,p)"
Ramón Rivas,1927,"Rivas Contreras, Ramón",1984-1999,auto,6,,"swapped name == alias | surname+initial (rivas,r) | decades overlap span 1984-1999"
Raymond Dalmau,1962,"Dalmau Perez, Raymond",1966-1985,auto,19,,"birth year 1948 | bioFull == alias | swapped name == alias | in player_id_map | surname+initial (dalmau,r) | scoring years 1968-1972 in span 1966-1985 | club overlap"
Renaldo Balkman,2849,"Balkman, Renaldo",2013-2016,auto,12,,"curated name == alias | swapped name == alias | surname+initial (balkman,r) | decades overlap span 2013-2016 | club overlap"
Reyshawn Terry,13000,"Terry, Reyshawn",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (terry,r)"
Ricky Sanchez,2033,"Sanchez Rosa, Ricky",2001-2017,auto,8,,"swapped name == alias | surname+initial (sanchez,r) | decades overlap span 2001-2017 | club overlap"
Robert Glenn,13213,"Glenn, Robert",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (glenn,r)"
Rolando Frazer,2089,"Frazer Thorne, Rolando",,auto,12,,"birth year 1958 | bioFull == alias | swapped name == alias | surname+initial (frazer,r)"
Ruben Cotto,2675,"Cotto, Rubén",2011-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (cotto,r) | decades [2020] DISJOINT from span 2011-2017 | club overlap"
Rubén Rodríguez,2113,"Rodriguez Leon, Ruben",1969-1991,auto,14,,"birth year 1953 | bioFull == alias | swapped name == alias | surname+initial (rodriguez,r) | decades overlap span 1969-1991"
Sam Young,2880,"Young, Sam",2014-2014,auto,12,,"curated name == alias | swapped name == alias | surname+initial (young,s) | decades overlap span 2014-2014 | club overlap"
Sammy Betancourt,2147,"Betancourt Fernandez, Samuel",1962-1982,auto,10,,"swapped name == alias | in player_id_map | surname+initial (betancourt,s) | decades overlap span 1962-1982 | club overlap"
Samuel Betancourt,2147,"Betancourt Fernandez, Samuel",1962-1982,auto,7,,"swapped name == alias | surname+initial (betancourt,s) | scoring years 1972-1976 in span 1962-1982"
Tai Wesley,13198,"Wesley, Tai",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (wesley,t)"
Terrence Jones,13289,"Jones, Terrence",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (jones,t)"
Terrence Shannon,2391,"Shannon Dogan, Terrence",2007-2013,auto,8,,"swapped name == alias | surname+initial (shannon,t) | decades overlap span 2007-2013 | club overlap"
Terrico White,13281,"White, Terrico",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (white,t)"
Tyler Davis,13230,"Davis, Tyler",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (davis,t)"
Tyler Polo,2813,"Polo, Tyler",2013-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (polo,t) | decades [2020] DISJOINT from span 2013-2017 | club overlap"
Tyquan Rolon,13220,"Rolón, Tyquan",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (rolon,t)"
Victor Rudd,13210,"Rudd, Victor",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (rudd,v)"
Víctor Liz,2778,"Liz, Victor",2013-2017,auto,13,,"curated name == alias | swapped name == alias | surname+initial (liz,v) | scoring years 2017-2017 in span 2013-2017 | club overlap"
Walter Hodge,2514,"Hodge Jr., Walter",2010-2017,auto,8,,"swapped name == alias | surname+initial (hodge,w) | decades overlap span 2010-2017 | club overlap"
Wesley Correa,2278,"Correa Crump, Wesley",1981-1998,auto,11,,"swapped name == alias | in player_id_map | surname+initial (correa,w) | scoring years 1989-1989 in span 1981-1998 | club overlap"
Weyinmi Efejuku Rose,2752,"Efejuku-Rose, Weyinmi",2012-2013,auto,11,,curated name == alias | swapped name == alias | decades overlap span 2012-2013 | club overlap
Wilfredo Pagán,2290,"Pagan Roque, Wilfredo",1992-2017,auto,6,,"swapped name == alias | surname+initial (pagan,w) | decades overlap span 1992-2017"
Wilfredo Rodriguez Valentin,13170,"Rodriguez Valentin, Wilfredo",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (valentin,w)"
Will Daniels,12964,"Daniels, Will",2015-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (daniels,w) | decades overlap span 2015-2017 | club overlap"
