script,original_url,timestamp,digest,query,local_file
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=MA,20030626222831,YFCMXGS46OQ54Y75JZ2DBGU6HAYAL4EU,t=MA,20030626222831_YFCMXGS4.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=CN++++++++&serie=1,20020511005716,YN2XANG6YJUHWH6XO3RGTDKKZBQ7M7F4,t=CN++++++++&serie=1,20020511005716_YN2XANG6.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=SG&serie=2,20030425232606,YPXJGZAMD2FLDMQNC37W66BDEPPZA3W6,t=SG&serie=2,20030425232606_YPXJGZAM.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO,20020624064957,YQLV6DPOGPWKVEMO5WRCNDTVCPGX65G7,t=PO,20020624064957_YQLV6DPO.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=AR&serie=2,20020811181212,YRZSKLGE7RMKKXDEBQWI574OZ5GL3X25,t=AR&serie=2,20020811181212_YRZSKLGE.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO++++++++&serie=2,20011124123000,YTNBUCUC4WCOUMQBQUWJGXZG4Y6W4LMQ,t=PO++++++++&serie=2,20011124123000_YTNBUCUC.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO++++++++&serie=2,20011226021431,YTNBUCUC4WCOUMQBQUWJGXZG4Y6W4LMQ,t=PO++++++++&serie=2,20011124123000_YTNBUCUC.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=CA&serie=2,20030425234307,YXXP73ENLVLZB57QFS4V5L2UWSDMGDY4,t=CA&serie=2,20030425234307_YXXP73EN.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=MA++++++++&serie=2,20011124115903,YY6N3VSJJMZI2CTDEA2STMTH5SGJMS55,t=MA++++++++&serie=2,20011124115903_YY6N3VSJ.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO&serie=,20021109113343,Z2FO5K3SRJ3SJKH7ECLPNTT4QRBDWKXI,t=PO&serie=,20021109113343_Z2FO5K3S.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO,20021218221750,Z2FO5K3SRJ3SJKH7ECLPNTT4QRBDWKXI,t=PO,20021109113343_Z2FO5K3S.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO,20030218184636,Z2FO5K3SRJ3SJKH7ECLPNTT4QRBDWKXI,t=PO,20021109113343_Z2FO5K3S.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO&serie=1,20030224053501,Z2FO5K3SRJ3SJKH7ECLPNTT4QRBDWKXI,t=PO&serie=1,20021109113343_Z2FO5K3S.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=CO&serie=1,20020811164537,ZCC7WEW7KUTXOEPS6BLXN43U7V4ZMBJX,t=CO&serie=1,20020811164537_ZCC7WEW7.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=CO,20020811183631,ZCC7WEW7KUTXOEPS6BLXN43U7V4ZMBJX,t=CO,20020811164537_ZCC7WEW7.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=CO&serie=1,20021019231836,ZCC7WEW7KUTXOEPS6BLXN43U7V4ZMBJX,t=CO&serie=1,20020811164537_ZCC7WEW7.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=CN,20020527202942,ZDR4YKJCLNEBNPPBKLE5LYK4QD7YTGVW,t=CN,20020527202942_ZDR4YKJC.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=MA,20020612170944,ZF3JCIW6C27JTXXRNH7GF4VTF6DKWEGR,t=MA,20020612170944_ZF3JCIW6.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=PO++++++++&serie=2,20020921074913,ZKAZRALIZBZXYQ6LJWX7GOSV4LKVTBJY,t=PO++++++++&serie=2,20020921074913_ZKAZRALI.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=PO++++++++&serie=2,20021019231606,ZKAZRALIZBZXYQ6LJWX7GOSV4LKVTBJY,t=PO++++++++&serie=2,20020921074913_ZKAZRALI.html
equiposstat.asp,http://bsnpr.com:80/equiposstat.asp?t=CO++++++++&serie=1,20010804061230,ZLQYB2G3DGT6CLCY2WJT6Z5ZDHYTTZWS,t=CO++++++++&serie=1,20010804061230_ZLQYB2G3.html
equiposstat.asp,http://www.bsnpr.com:80/equiposstat.asp?t=CA++++++++&serie=2,20020703144250,ZS5GRGSALSKU3VKP5RDAQKNVMLRMKRF5,t=CA++++++++&serie=2,20020703144250_ZS5GRGSA.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp,20040331111928,7JD4RBTTB3TRCSF7R6YNZAQBD3CL4OR7,,20040331111928_7JD4RBTT.html
lideres.asp,http://www.bsnpr.com:80/NewWeb/estadisticas/lideres.asp,20170708204938,CHJCW2GGH2FGZPUYTV37ZOZTRNDOFNTP,,20170708204938_CHJCW2GG.html
