bsnpr_id,season,franchise_id,games,points,players_source_url,jug05_source_url,jug05_team_raw,jug05_retrieved_at
50,1997,,15,256,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,AGUADILLA,2026-09-10T01:55:01Z
50,1998,mets_guaynabo,25,264,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,GUAYNABO,2026-09-10T01:55:01Z
50,1999,mets_guaynabo,29,547,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,GUAYNABO,2026-09-10T01:55:01Z
50,2001,cangrejeros_santurce,26,251,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,SANTURCE,2026-09-10T01:55:01Z
50,2003,cangrejeros_santurce,21,213,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,SANTURCE,2026-09-10T01:55:01Z
50,2004,cangrejeros_santurce,30,313,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,SANTURCE,2026-09-10T01:55:01Z
50,2005,cangrejeros_santurce,31,328,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,SANTURCE,2026-09-10T01:55:01Z
73,2000,vaqueros_bayamon,8,9,https://web.archive.org/web/20080406040813id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=73&e=10,https://web.archive.org/web/20061119230826id_/http://www.bsnpr.com/jug05.asp?r2=NFGFOVGUNE&r3=EDWFK&r=00034&e=ARECIBO,BAYAMON,2026-09-10T01:54:15Z
73,2001,vaqueros_bayamon,11,60,https://web.archive.org/web/20080406040813id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=73&e=10,https://web.archive.org/web/20061119230826id_/http://www.bsnpr.com/jug05.asp?r2=NFGFOVGUNE&r3=EDWFK&r=00034&e=ARECIBO,BAYAMON,2026-09-10T01:54:15Z
73,2002,vaqueros_bayamon,20,87,https://web.archive.org/web/20080406040813id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=73&e=10,https://web.archive.org/web/20061119230826id_/http://www.bsnpr.com/jug05.asp?r2=NFGFOVGUNE&r3=EDWFK&r=00034&e=ARECIBO,BAYAMON,2026-09-10T01:54:15Z
