tranche,key,original_url,timestamp,digest,local_file
B,1443,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1443&e=,20070828223641,7IAFOV6XQD75R34RWG5T3DJSX235N6VY,1443_20070828223641.html
B,1445,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1445&e=,20070829042546,SQM277ZKTZOFZMQUTWQ46U4ODQ5N7GEX,1445_20070829042546.html
B,145,http://www.bsnpr.com:80/jugadores/jugador.asp?id=145&e=,20070829040602,7NFFWTNGVBKTANGT4X2UGCA3ZYKGWAWR,145_20070829040602.html
B,1453,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1453&e=,20070829041917,LKHQKH2FGUNO4WBBWCEJVG46EISGSXEP,1453_20070829041917.html
B,1461,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1461&e=,20070828230531,ZUK264WQ4V3FBZAUEPHS3DNH6ZB5334R,1461_20070828230531.html
B,1462,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1462&e=,20070829035055,4GR7QZ6BOOQYC6LYSKGMIXXWBB7GF7VK,1462_20070829035055.html
B,1464,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1464&e=,20070828231519,VXBA5PPJ2RBT3QGQKUT2ZNU7AMG7G2PH,1464_20070828231519.html
B,1465,https://www.bsnpr.com/jugadores/jugador.asp?id=1465,20210519181405,UKDDDBEWN2AONU3XG7FZTGXYH5ZANS3U,1465_20210519181405.html
B,1466,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1466&e=,20070829042851,FLWPAGSQGJJ2FKOXXA3BCPSPNPKLVZXJ,1466_20070829042851.html
B,1468,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1468&e=,20070828223612,MI5EMOOLHEKONLHXZLOFEKURI2UZFIWR,1468_20070828223612.html
B,1473,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1473&e=,20070828231636,TOH4ZFMVUHOLZUZATCLGVCLZPIH5DVK3,1473_20070828231636.html
