key,original_url,timestamp,digest,roster_team,local_file
2OETL2QRSU3OCSTPPLGN6NJUOWJD3ULV,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=XVBVQZAAGU&e=,20050322231357,2OETL2QRSU3OCSTPPLGN6NJUOWJD3ULV,,2OETL2QRSU3OCSTPPLGN6NJUOWJD3ULV.html
2UBBJWEDBIEBXGIWOXAMTG3MEDYQE5RU,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=VUWFEZRURI&e=CAYEY,20050911034641,2UBBJWEDBIEBXGIWOXAMTG3MEDYQE5RU,CAYEY,2UBBJWEDBIEBXGIWOXAMTG3MEDYQE5RU.html
2UUQ75QADE2AKRHDQOBWHVW5NN3OBBBS,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462716RX0B&e=CAGUAS,20050414064503,2UUQ75QADE2AKRHDQOBWHVW5NN3OBBBS,CAGUAS,2UUQ75QADE2AKRHDQOBWHVW5NN3OBBBS.html
2VP6R7DIEICELAQ2Y5HA2NMLGHFI4ENB,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462736RX0U&e=,20050322102930,2VP6R7DIEICELAQ2Y5HA2NMLGHFI4ENB,,2VP6R7DIEICELAQ2Y5HA2NMLGHFI4ENB.html
2VQQNZPMK45HUEG6VFI5TDP4STVNKSZJ,http://www.bsnpr.com:80/jugador05.asp?r2=462776RX2S&e=BAYAMON,20050321233447,2VQQNZPMK45HUEG6VFI5TDP4STVNKSZJ,BAYAMON,2VQQNZPMK45HUEG6VFI5TDP4STVNKSZJ.html
2X7WSM2GGHFMRWGC7Z53DAWJOAFESQWS,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=APGOREFZVT&e=CAYEY,20050414064839,2X7WSM2GGHFMRWGC7Z53DAWJOAFESQWS,CAYEY,2X7WSM2GGHFMRWGC7Z53DAWJOAFESQWS.html
2XV6NK5BAAJIU5AXMN7OXBQY3PANC6JO,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462776RX2X&e=ARECIBO,20050905044535,2XV6NK5BAAJIU5AXMN7OXBQY3PANC6JO,ARECIBO,2XV6NK5BAAJIU5AXMN7OXBQY3PANC6JO.html
2ZACHGFT7RGPXPTGQLGE6WF3A4UN6EJL,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462706RWZS&e=COAMO,20061119234826,2ZACHGFT7RGPXPTGQLGE6WF3A4UN6EJL,COAMO,2ZACHGFT7RGPXPTGQLGE6WF3A4UN6EJL.html
34OUT6LBYPMNO4H3Z5IOV56SE542UYT6,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX33&e=SAN+GERMAN,20050414065200,34OUT6LBYPMNO4H3Z5IOV56SE542UYT6,SAN GERMAN,34OUT6LBYPMNO4H3Z5IOV56SE542UYT6.html
353ZPULL3G35D7CP7CM7AYY7TBJ7XNKQ,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=ULITXEGTVW&e=,20050322231442,353ZPULL3G35D7CP7CM7AYY7TBJ7XNKQ,,353ZPULL3G35D7CP7CM7AYY7TBJ7XNKQ.html
