franchise_id,season,season_source,template,section,jersey_number,name_raw,name_order,height_cm,position_raw,birth_year_2digit,age,approx_birth_year,nationality_raw,years_from,years_to,former_team_raw,eurobasket_player_id,latinbasket_player_id,profile_url,completeness,source_id,source_url,retrieved_at,confidence
atenienses_manati,2016,capture_year,widget,starting_five,8,Omar Alvarado,given_first,180,PG,,32,1984,,,,,,55079,http://basketball.latinbasket.com/player/Omar-Alvarado/Puerto-Rico/Atenienses-de-Manati/55079,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atenienses-de-Manati/1963,20160811092940,single-source
atenienses_manati,2016,capture_year,widget,reserve,22,Ricardo Melendez,given_first,179,G,,32,1984,,,,,,55073,http://basketball.latinbasket.com/player/Ricardo-Melendez/Puerto-Rico/Atenienses-de-Manati/55073,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atenienses-de-Manati/1963,20160811092940,single-source
atenienses_manati,2016,capture_year,widget,reserve,11,Luis Medina,given_first,,,,,,,,,,,328087,http://basketball.latinbasket.com/player/Luis-Medina/Puerto-Rico/Atenienses-de-Manati/328087,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atenienses-de-Manati/1963,20160811092940,single-source
atenienses_manati,2017,capture_year,photo_strip,teaser,,Nathanael Crispin,given_first,,,,,,,,,,,1323,http://basketball.latinbasket.com/player/Nathanael-Crispin/Puerto-Rico/Atenienses-de-Manati/1323,partial,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Atenienses-de-Manati/1963,20170703134800,single-source
atenienses_manati,2017,capture_year,photo_strip,teaser,,Orlando Santiago,given_first,,,,,,,,,,,9562,http://basketball.latinbasket.com/player/Orlando-Santiago/Puerto-Rico/Atenienses-de-Manati/9562,partial,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Atenienses-de-Manati/1963,20170703134800,single-source
atenienses_manati,2017,capture_year,photo_strip,teaser,,Raymond Dalmau,given_first,,,,,,,,,,,16692,http://basketball.latinbasket.com/player/Raymond-Dalmau/Puerto-Rico/Atenienses-de-Manati/16692,partial,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Atenienses-de-Manati/1963,20170703134800,single-source
atenienses_manati,2017,capture_year,photo_strip,teaser,,Jerome Moiso,given_first,,,,,,,,,,,17956,http://basketball.latinbasket.com/player/Jerome-Moiso/Puerto-Rico/Atenienses-de-Manati/17956,partial,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Atenienses-de-Manati/1963,20170703134800,single-source
atenienses_manati,2017,capture_year,photo_strip,teaser,,Ian Lockhart,given_first,,,,,,,,,,,22391,http://basketball.latinbasket.com/player/Ian-Lockhart/Puerto-Rico/Atenienses-de-Manati/22391,partial,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Atenienses-de-Manati/1963,20170703134800,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,1,Pellot-Rosa Jesse,surname_first,193,G,84,,,USA,,,,50790,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=50790,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,21,Dyer Alphonse,surname_first,213,C,85,,,USA-PUR,,,,54205,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=54205,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,11,Osimani Martin,surname_first,194,G,81,,,URU,,,,23852,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=23852,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,15,Wolkowisky Ruben,surname_first,207,C,73,,,ARG-POL,,,,7173,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=7173,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,16,De Jesus Manuel,surname_first,206,C,83,,,PUR,,,,40766,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=40766,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,8,Alvarado Omar,surname_first,180,G,83,,,PUR,,,,55079,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=55079,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,20,Mendez Osvaldo,surname_first,188,G,82,,,PUR,,,,59898,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=59898,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,7,Paniagua Angel,surname_first,204,F/C,75,,,PUR,,,,16908,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=16908,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,2,Martinez Freddie,surname_first,196,F/G,76,,,PUR,,,,19802,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=19802,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,13,Ruiz Gabriel,surname_first,198,F/C,83,,,PUR,,,,118930,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=118930,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,4,Ramirez Luis Steven,surname_first,180,G,86,,,PUR,,,,173052,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=173052,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,12,Andino Guillermo,surname_first,186,G,88,,,PUR,,,,104877,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=104877,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2009,year_param,flat_bo,roster,23,Martinez Carlos,surname_first,191,G,88,,,PUR,,,,107437,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=107437,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2009,20160401114423,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,33,Wilson Monty,surname_first,197,F,73,,,USA,,,,4555,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=4555,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,12,Cooperland Daniel,surname_first,177,G,84,,,USA-PUR,,,,31635,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=31635,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,21,Dyer Alphonse,surname_first,213,C,85,,,USA-PUR,,,,54205,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=54205,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,22,Villegas Johwen,surname_first,193,G,85,,,PUR,,,,64961,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=64961,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,09,Abraham Ryann,surname_first,178,G,87,,,PUR,,,,71460,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=71460,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,33,Hickerson LeRoy,surname_first,196,G,82,,,USA,,,,82126,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=82126,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,02,Melvin Marcus,surname_first,203,F,82,,,IRI,,,,39011,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=39011,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,13,Ruiz Gabriel,surname_first,198,F/C,83,,,PUR,,,,118930,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=118930,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,07,Orta Raul,surname_first,196,G,85,,,VEN-PUR,,,,47349,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=47349,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,32,Strong Carlos,surname_first,191,G,87,,,USA,,,,115097,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=115097,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,34,Lassiter Bryant,surname_first,178,G,87,,,USA-PUR,,,,141607,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=141607,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,11,Rosa-Clemente Luis,surname_first,203,F/C,82,,,USA-PUR,,,,39952,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=39952,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
