key,original_url,timestamp,digest,roster_team,local_file
326OGTPCOA7MHUQUYIGSGDWJCZDFTQ6Q,http://www.bsnpr.com/jug05.asp?r2=KUTZMIBQHD&r3=SCCBZ&r=00144&e=GUAYNABO,20061119225616,326OGTPCOA7MHUQUYIGSGDWJCZDFTQ6Q,GUAYNABO,326OGTPCOA7MHUQUYIGSGDWJCZDFTQ6Q.html
32MKC36GSSNERITPC67H7NFOMKMEHIFK,http://www.bsnpr.com:80/jug05.asp?r3=+++++&r2=IDMKNHYNVN&r=00565&e=,20060829175159,32MKC36GSSNERITPC67H7NFOMKMEHIFK,,32MKC36GSSNERITPC67H7NFOMKMEHIFK.html
3337JNBLQQG2FQJ3MPBYQH3PTDMCIPPK,http://www.bsnpr.com/jug05.asp?r2=462766RX2A&r3=00208&r=00075&e=ARECIBO,20061119230722,3337JNBLQQG2FQJ3MPBYQH3PTDMCIPPK,ARECIBO,3337JNBLQQG2FQJ3MPBYQH3PTDMCIPPK.html
3474WRVTXQVMXQDDBYRDDRKYBW7BUBIM,http://www.bsnpr.com/jug05.asp?r2=NFGFOVGUNE&r3=EDWFK&r=00034&e=ARECIBO,20061119230826,3474WRVTXQVMXQDDBYRDDRKYBW7BUBIM,ARECIBO,3474WRVTXQVMXQDDBYRDDRKYBW7BUBIM.html
35KVG72HN4EIJECKK6CB4GJE3LYDLZ2G,http://www.bsnpr.com:80/jug05.asp?r2=462766RX26&r3=00204&e=ARECIBO,20050924061105,35KVG72HN4EIJECKK6CB4GJE3LYDLZ2G,ARECIBO,35KVG72HN4EIJECKK6CB4GJE3LYDLZ2G.html
36XTG2UUXO6INKV4B4QMCJ4C3QD6OCHF,http://www.bsnpr.com/jug05.asp?r2=MWWUSPGWZU&r3=TVJWS&r=00130&e=HUMACAO,20061119231310,36XTG2UUXO6INKV4B4QMCJ4C3QD6OCHF,HUMACAO,36XTG2UUXO6INKV4B4QMCJ4C3QD6OCHF.html
3AHY4M6VPGJP7J67FTYBBDXNMZ3C5H6G,http://www.bsnpr.com:80/jug05.asp?r3=00042&r2=462676RWYI&r=00057&e=,20061206190144,3AHY4M6VPGJP7J67FTYBBDXNMZ3C5H6G,,3AHY4M6VPGJP7J67FTYBBDXNMZ3C5H6G.html
3AZ2QNBAD2EWF572H5GCKWZPUFYNNGRG,http://www.bsnpr.com:80/jug05.asp?r3=MESTH&r2=CZLCWDQUEG&r=00502&e=,20061008161836,3AZ2QNBAD2EWF572H5GCKWZPUFYNNGRG,,3AZ2QNBAD2EWF572H5GCKWZPUFYNNGRG.html
3B2VVPNWMY7OWQMWHA3PWSRBRDUOSRSH,http://www.bsnpr.com:80/jug05.asp?r3=00198&r2=462756RX20&r=00006&e=,20061206190234,3B2VVPNWMY7OWQMWHA3PWSRBRDUOSRSH,,3B2VVPNWMY7OWQMWHA3PWSRBRDUOSRSH.html
3CSERW5D5MQUEPYGXSY2GRZ5JJX6LDR7,http://www.bsnpr.com:80/jug05.asp?r2=462776RX2X&r3=00233&e=ARECIBO,20050418013148,3CSERW5D5MQUEPYGXSY2GRZ5JJX6LDR7,ARECIBO,3CSERW5D5MQUEPYGXSY2GRZ5JJX6LDR7.html
3CVWQR6ZE562KVVIWDH6JNNQL7TXDLZA,http://www.bsnpr.com:80/jug05.asp?r=00527,20060618111135,3CVWQR6ZE562KVVIWDH6JNNQL7TXDLZA,,3CVWQR6ZE562KVVIWDH6JNNQL7TXDLZA.html
3EP6ZG5K5OLD56HVDAGT4GP22RB5N5XR,http://www.bsnpr.com:80/jug05.asp?r3=00138&r2=462726RX0L&r=00046&e=,20061206115330,3EP6ZG5K5OLD56HVDAGT4GP22RB5N5XR,,3EP6ZG5K5OLD56HVDAGT4GP22RB5N5XR.html
3ISM74MFTTCOU7626GGLPOZ43Y657XY2,http://www.bsnpr.com:80/jug05.asp?r=00538,20060618111200,3ISM74MFTTCOU7626GGLPOZ43Y657XY2,,3ISM74MFTTCOU7626GGLPOZ43Y657XY2.html
3JHJ5SKP3M7TDVN5NXLMCTX7PFDWZDI5,http://www.bsnpr.com:80/jug05.asp?r3=00121&r2=462716RX07&r=00127&e=,20061210022116,3JHJ5SKP3M7TDVN5NXLMCTX7PFDWZDI5,,3JHJ5SKP3M7TDVN5NXLMCTX7PFDWZDI5.html
3RKPU6AEAN4SRXPSCJOBXRSNFD5TVNE2,http://www.bsnpr.com:80/jug05.asp?r3=QRJGN&r2=WCPCJDEPGL&r=00542&e=,20070404072946,3RKPU6AEAN4SRXPSCJOBXRSNFD5TVNE2,,3RKPU6AEAN4SRXPSCJOBXRSNFD5TVNE2.html
3S3LDL3LIFLIC35HZIAU5WTU5ZWWKAR2,http://www.bsnpr.com:80/jug05.asp?r3=00262&r2=462796RX3L&r=00100&e=,20061009095710,3S3LDL3LIFLIC35HZIAU5WTU5ZWWKAR2,,3S3LDL3LIFLIC35HZIAU5WTU5ZWWKAR2.html
3SSL6HA4T7G2POCBEXDCRZA2EYN4V4B7,http://www.bsnpr.com:80/jug05.asp?r=00021,20070224020905,3SSL6HA4T7G2POCBEXDCRZA2EYN4V4B7,,3SSL6HA4T7G2POCBEXDCRZA2EYN4V4B7.html
