bsnpr_id,season,city_token,team_raw_a,source_id_a,games_a,points_a,source_url_a,team_raw_b,source_id_b,games_b,points_b,source_url_b,jug05_retrieved_at
151,2006,caguas,"Criollos, Caguas",wayback_bsnpr_players,4,71,https://web.archive.org/web/20140122195645id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=151&e=,CAGUAS,wayback_bsnpr_jug05,27,468,https://web.archive.org/web/20070224021044id_/http://www.bsnpr.com:80/jug05.asp?r=00065,2026-09-10T02:10:29Z
193,2006,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,12,222,https://web.archive.org/web/20130612084140id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=193&e=14,COAMO,wayback_bsnpr_jug05,20,364,https://web.archive.org/web/20061119230512id_/http://www.bsnpr.com/jug05.asp?r2=462736RX10&r3=00155&r=00026&e=COAMO,2026-09-10T01:59:01Z
217,2000,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,11,24,https://web.archive.org/web/20090710220945id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=217&e=,BAYAMON,wayback_bsnpr_jug05,11,28,https://web.archive.org/web/20070224020905id_/http://www.bsnpr.com:80/jug05.asp?r=00021,2026-09-10T02:09:57Z
217,2001,san german,"Atleticos, San German",wayback_bsnpr_players,23,91,https://web.archive.org/web/20090710220945id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=217&e=,SAN GERMAN,wayback_bsnpr_jug05,24,136,https://web.archive.org/web/20070224020905id_/http://www.bsnpr.com:80/jug05.asp?r=00021,2026-09-10T02:09:57Z
236,2001,aibonito,"Polluelos, Aibonito",wayback_bsnpr_players,18,14,https://web.archive.org/web/20090830021433id_/http://bsnpr.com:80/jugadores/jugador.asp?id=236&e=,AIBONITO,wayback_bsnpr_jug05,16,17,https://web.archive.org/web/20061006122443id_/http://www.bsnpr.com:80/jug05.asp?r3=00097&r2=462706RWZM&r=00540&e=,2026-09-10T01:59:30Z
284,2000,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,27,480,https://web.archive.org/web/20180829212304id_/https://www.bsnpr.com/jugadores/jugador.asp?id=284&e,COAMO,wayback_bsnpr_jug05,26,480,https://web.archive.org/web/20061208064331id_/http://www.bsnpr.com:80/jug05.asp?r3=00107&r2=462706RWZV&r=00036&e=,2026-09-10T02:01:58Z
284,2002,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,18,425,https://web.archive.org/web/20180829212304id_/https://www.bsnpr.com/jugadores/jugador.asp?id=284&e,COAMO,wayback_bsnpr_jug05,19,450,https://web.archive.org/web/20061208064331id_/http://www.bsnpr.com:80/jug05.asp?r3=00107&r2=462706RWZV&r=00036&e=,2026-09-10T02:01:58Z
284,2006,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,4,54,https://web.archive.org/web/20180829212304id_/https://www.bsnpr.com/jugadores/jugador.asp?id=284&e,BAYAMON,wayback_bsnpr_jug05,25,446,https://web.archive.org/web/20061208064331id_/http://www.bsnpr.com:80/jug05.asp?r3=00107&r2=462706RWZV&r=00036&e=,2026-09-10T02:01:58Z
320,2000,guayama,"Brujos, Guayama",wayback_bsnpr_players,25,71,https://web.archive.org/web/20080410091522id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=320&e=,GUAYAMA,wayback_bsnpr_jug05,26,71,https://web.archive.org/web/20050903213008id_/http://www.bsnpr.com:80/jug05.asp?r2=462686RWYP&r=00055&e=CAGUAS,2026-09-10T01:47:43Z
320,2005,guayama,"Brujos, Guayama",wayback_bsnpr_players,31,113,https://web.archive.org/web/20080410091522id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=320&e=,GUAYAMA,wayback_bsnpr_jug05,4,13,https://web.archive.org/web/20050903213008id_/http://www.bsnpr.com:80/jug05.asp?r2=462686RWYP&r=00055&e=CAGUAS,2026-09-10T01:47:43Z
335,2001,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,12,133,https://web.archive.org/web/20091209055642id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=335&e=,BAYAMON,wayback_bsnpr_jug05,12,137,https://web.archive.org/web/20061206115305id_/http://www.bsnpr.com:80/jug05.asp?r3=00033&r2=462676RWYB&r=00051&e=,2026-09-10T02:01:09Z
357,2001,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,24,88,https://web.archive.org/web/20080229015214id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=357&e=5,SANTURCE,wayback_bsnpr_jug05,22,84,https://web.archive.org/web/20061212103031id_/http://www.bsnpr.com:80/jug05.asp?r3=00234&r2=462776RX2Y&r=00049&e=,2026-09-10T02:01:01Z
382,2000,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,27,512,https://web.archive.org/web/20170715121156id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=382&e=,COAMO,wayback_bsnpr_jug05,26,512,https://web.archive.org/web/20060827011831id_/http://www.bsnpr.com:80/jug05.asp?r3=00241&r2=462786RX33&r=00118&e=,2026-09-10T01:54:47Z
382,2001,san german,"Atleticos, San German",wayback_bsnpr_players,25,508,https://web.archive.org/web/20170715121156id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=382&e=,SAN GERMAN,wayback_bsnpr_jug05,25,557,https://web.archive.org/web/20060827011831id_/http://www.bsnpr.com:80/jug05.asp?r3=00241&r2=462786RX33&r=00118&e=,2026-09-10T01:54:47Z
498,2001,ponce,"Leones, Ponce",wayback_bsnpr_players,23,481,https://web.archive.org/web/20180221123707id_/http://www.bsnpr.com/jugadores/jugador.asp?id=498,PONCE,wayback_bsnpr_jug05,24,539,https://web.archive.org/web/20060909091946id_/http://www.bsnpr.com:80/jug05.asp?r2=462756RX1T&r3=00191&r=00091&e=PONCE,2026-09-10T01:55:49Z
498,2002,ponce,"Leones, Ponce",wayback_bsnpr_players,29,605,https://web.archive.org/web/20180221123707id_/http://www.bsnpr.com/jugadores/jugador.asp?id=498,PONCE,wayback_bsnpr_jug05,30,614,https://web.archive.org/web/20060909091946id_/http://www.bsnpr.com:80/jug05.asp?r2=462756RX1T&r3=00191&r=00091&e=PONCE,2026-09-10T01:55:49Z
509,2000,guaynabo,"Conquistadores, Guaynabo",wayback_bsnpr_players,12,125,https://web.archive.org/web/20080803173052id_/http://bsnpr.com:80/jugadores/jugador.asp?id=509&e=,GUAYNABO,wayback_bsnpr_jug05,11,125,https://web.archive.org/web/20070328182250id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3K&r3=00261&r=00007&e=ARECIBO,2026-09-10T02:11:19Z
509,2001,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,26,248,https://web.archive.org/web/20080803173052id_/http://bsnpr.com:80/jugadores/jugador.asp?id=509&e=,BAYAMON,wayback_bsnpr_jug05,26,253,https://web.archive.org/web/20070328182250id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3K&r3=00261&r=00007&e=ARECIBO,2026-09-10T02:11:19Z
555,2001,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,24,218,https://web.archive.org/web/20080411054901id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=555&e=,SANTURCE,wayback_bsnpr_jug05,25,236,https://web.archive.org/web/20061009100142id_/http://www.bsnpr.com:80/jug05.asp?r3=00206&r2=462766RX28&r=00099&e=,2026-09-10T01:57:37Z
555,2002,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,24,204,https://web.archive.org/web/20080411054901id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=555&e=,SANTURCE,wayback_bsnpr_jug05,25,211,https://web.archive.org/web/20061009100142id_/http://www.bsnpr.com:80/jug05.asp?r3=00206&r2=462766RX28&r=00099&e=,2026-09-10T01:57:37Z
574,2001,san german,"Atleticos, San German",wayback_bsnpr_players,26,580,https://web.archive.org/web/20170715120228id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=574&e=,SAN GERMAN,wayback_bsnpr_jug05,26,617,https://web.archive.org/web/20061208171514id_/http://www.bsnpr.com:80/jug05.asp?r3=00233&r2=462776RX2X&r=00002&e=,2026-09-10T01:59:06Z
624,2000,aibonito,"Polluelos, Aibonito",wayback_bsnpr_players,22,256,https://web.archive.org/web/20140122200729id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=624&e=,AIBONITO,wayback_bsnpr_jug05,23,256,https://web.archive.org/web/20061009095710id_/http://www.bsnpr.com:80/jug05.asp?r3=00262&r2=462796RX3L&r=00100&e=,2026-09-10T01:54:41Z
624,2001,aibonito,"Polluelos, Aibonito",wayback_bsnpr_players,23,241,https://web.archive.org/web/20140122200729id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=624&e=,AIBONITO,wayback_bsnpr_jug05,23,226,https://web.archive.org/web/20061009095710id_/http://www.bsnpr.com:80/jug05.asp?r3=00262&r2=462796RX3L&r=00100&e=,2026-09-10T01:54:41Z
697,2000,mayaguez,"Indios, Mayaguez",wayback_bsnpr_players,18,279,https://web.archive.org/web/20091209191937id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=697&e=,MAYAGUEZ,wayback_bsnpr_jug05,17,279,https://web.archive.org/web/20061119231009id_/http://www.bsnpr.com/jug05.asp?r2=462716RX02&r3=00116&r=00038&e=CAGUAS,2026-09-10T02:03:06Z
697,2002,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,8,60,https://web.archive.org/web/20091209191937id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=697&e=,COAMO,wayback_bsnpr_jug05,10,60,https://web.archive.org/web/20061119231009id_/http://www.bsnpr.com/jug05.asp?r2=462716RX02&r3=00116&r=00038&e=CAGUAS,2026-09-10T02:03:06Z
704,2002,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,24,375,https://web.archive.org/web/20170715121350id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=704&e=,COAMO,wayback_bsnpr_jug05,25,380,https://web.archive.org/web/20060618110520id_/http://www.bsnpr.com:80/jug05.asp?r=00575,2026-09-10T01:59:54Z
757,2001,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,24,526,https://web.archive.org/web/20091207221748id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=757&e=9,BAYAMON,wayback_bsnpr_jug05,24,507,https://web.archive.org/web/20061207193824id_/http://www.bsnpr.com:80/jug05.asp?r3=00040&r2=462676RWYG&r=00019&e=,2026-09-10T01:55:31Z
763,2001,mayaguez,"Indios, Mayaguez",wayback_bsnpr_players,24,130,https://web.archive.org/web/20090713002149id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=763&e=7,MAYAGUEZ,wayback_bsnpr_jug05,25,140,https://web.archive.org/web/20061206115502id_/http://www.bsnpr.com:80/jug05.asp?r3=00200&r2=462756RX22&r=00053&e=,2026-09-10T01:57:12Z
763,2006,ponce,"Leones, Ponce",wayback_bsnpr_players,20,86,https://web.archive.org/web/20090713002149id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=763&e=7,PONCE,wayback_bsnpr_jug05,25,102,https://web.archive.org/web/20061206115502id_/http://www.bsnpr.com:80/jug05.asp?r3=00200&r2=462756RX22&r=00053&e=,2026-09-10T01:57:12Z
773,2001,ponce,"Leones, Ponce",wayback_bsnpr_players,6,21,https://web.archive.org/web/20170715120412id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=773&e=,PONCE,wayback_bsnpr_jug05,9,23,https://web.archive.org/web/20061006123058id_/http://www.bsnpr.com:80/jug05.asp?r3=00192&r2=462756RX1U&r=00092&e=,2026-09-10T01:55:03Z
777,2001,caguas,"Criollos, Caguas",wayback_bsnpr_players,24,74,https://web.archive.org/web/20080325084937id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=777&e=14,CAGUAS,wayback_bsnpr_jug05,21,58,https://web.archive.org/web/20060618110655id_/http://www.bsnpr.com:80/jug05.asp?r=00020,2026-09-10T02:00:44Z
777,2006,humacao,"Grises, Humacao",wayback_bsnpr_players,8,17,https://web.archive.org/web/20080325084937id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=777&e=14,HUMACAO,wayback_bsnpr_jug05,24,56,https://web.archive.org/web/20060618110655id_/http://www.bsnpr.com:80/jug05.asp?r=00020,2026-09-10T02:00:44Z
808,2001,aibonito,"Polluelos, Aibonito",wayback_bsnpr_players,13,73,https://web.archive.org/web/20091004045524id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=808&e=,AIBONITO,wayback_bsnpr_jug05,15,79,https://web.archive.org/web/20061006123158id_/http://www.bsnpr.com:80/jug05.asp?r3=FSWWD&r2=462776RX2V&r=00124&e=,2026-09-10T01:56:03Z
808,2006,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,12,99,https://web.archive.org/web/20091004045524id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=808&e=,COAMO,wayback_bsnpr_jug05,24,146,https://web.archive.org/web/20061006123158id_/http://www.bsnpr.com:80/jug05.asp?r3=FSWWD&r2=462776RX2V&r=00124&e=,2026-09-10T01:56:03Z
870,2006,coamo,"Maratonistas, Coamo",wayback_bsnpr_players,2,0,https://web.archive.org/web/20130614021757id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=870&e=13,COAMO,wayback_bsnpr_jug05,14,43,https://web.archive.org/web/20061007174946id_/http://www.bsnpr.com:80/jug05.asp?r3=ETHFH&r2=OJZMQCXMNA&r=00512&e=,2026-09-10T02:02:24Z
932,2002,mayaguez,"Indios, Mayaguez",wayback_bsnpr_players,9,11,https://web.archive.org/web/20110717025736id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=932&e=2,MAYAGUEZ,wayback_bsnpr_jug05,8,11,https://web.archive.org/web/20061206190209id_/http://www.bsnpr.com:80/jug05.asp?r3=00062&r2=462686RWYV&r=00066&e=,2026-09-10T02:04:09Z
932,2006,san german,"Atleticos, San German",wayback_bsnpr_players,14,166,https://web.archive.org/web/20110717025736id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=932&e=2,SAN GERMAN,wayback_bsnpr_jug05,27,302,https://web.archive.org/web/20061206190209id_/http://www.bsnpr.com:80/jug05.asp?r3=00062&r2=462686RWYV&r=00066&e=,2026-09-10T02:04:09Z
952,2005,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,8,36,https://web.archive.org/web/20130428001411id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=952&e=,BAYAMON,wayback_bsnpr_jug05,3,0,https://web.archive.org/web/20050927081426id_/http://www.bsnpr.com:80/jug05.asp?r2=462696RWZ9&r=00078&e=ISABELA,2026-09-10T01:52:03Z
985,2001,bayamon,"Vaqueros, Bayamon",wayback_bsnpr_players,26,221,https://web.archive.org/web/20090110024201id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=985&e=,BAYAMON,wayback_bsnpr_jug05,25,209,https://web.archive.org/web/20050929224515id_/http://www.bsnpr.com:80/jug05.asp?r2=462676RWYG&r=00040&e=BAYAMON,2026-09-10T01:49:57Z
985,2005,isabela,"Gallitos, Isabela",wayback_bsnpr_players,10,87,https://web.archive.org/web/20090110024201id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=985&e=,ISABELA,wayback_bsnpr_jug05,32,221,https://web.archive.org/web/20050929224515id_/http://www.bsnpr.com:80/jug05.asp?r2=462676RWYG&r=00040&e=BAYAMON,2026-09-10T01:49:57Z
989,2001,mayaguez,"Indios, Mayaguez",wayback_bsnpr_players,12,217,https://web.archive.org/web/20070825200128id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=989&e=,MAYAGUEZ,wayback_bsnpr_jug05,16,283,https://web.archive.org/web/20060618111039id_/http://www.bsnpr.com:80/jug05.asp?r=00156,2026-09-10T02:01:21Z
1011,2001,ponce,"Leones, Ponce",wayback_bsnpr_players,25,341,https://web.archive.org/web/20190210044842id_/https://www.bsnpr.com/jugadores/jugador.asp?id=1011&e,PONCE,wayback_bsnpr_jug05,25,352,https://web.archive.org/web/20060618110943id_/http://www.bsnpr.com:80/jug05.asp?r=00094,2026-09-10T02:00:39Z
1011,2002,ponce,"Leones, Ponce",wayback_bsnpr_players,28,427,https://web.archive.org/web/20190210044842id_/https://www.bsnpr.com/jugadores/jugador.asp?id=1011&e,PONCE,wayback_bsnpr_jug05,29,460,https://web.archive.org/web/20060618110943id_/http://www.bsnpr.com:80/jug05.asp?r=00094,2026-09-10T02:00:39Z
1011,2003,ponce,"Leones, Ponce",wayback_bsnpr_players,29,415,https://web.archive.org/web/20190210044842id_/https://www.bsnpr.com/jugadores/jugador.asp?id=1011&e,PONCE,wayback_bsnpr_jug05,28,391,https://web.archive.org/web/20060618110943id_/http://www.bsnpr.com:80/jug05.asp?r=00094,2026-09-10T02:00:39Z
1025,2001,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,25,76,https://web.archive.org/web/20140122195610id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1025&e=,SANTURCE,wayback_bsnpr_jug05,25,73,https://web.archive.org/web/20070404014307id_/http://www.bsnpr.com:80/jug05.asp?r3=00251&r2=462786RX3D&r=00103&e=,2026-09-10T02:11:01Z
1025,2002,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,25,181,https://web.archive.org/web/20140122195610id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1025&e=,SANTURCE,wayback_bsnpr_jug05,26,187,https://web.archive.org/web/20070404014307id_/http://www.bsnpr.com:80/jug05.asp?r3=00251&r2=462786RX3D&r=00103&e=,2026-09-10T02:11:01Z
1025,2003,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,30,336,https://web.archive.org/web/20140122195610id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1025&e=,SANTURCE,wayback_bsnpr_jug05,1,8,https://web.archive.org/web/20070404014307id_/http://www.bsnpr.com:80/jug05.asp?r3=00251&r2=462786RX3D&r=00103&e=,2026-09-10T02:11:01Z
1063,2001,quebradillas,"Piratas, Quebradillas",wayback_bsnpr_players,22,396,https://web.archive.org/web/20090110181606id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1063&e=,QUEBRADILLAS,wayback_bsnpr_jug05,23,479,https://web.archive.org/web/20061119225540id_/http://www.bsnpr.com/jug05.asp?r2=462766RX2G&r3=00216&r=00093&e=GUAYNABO,2026-09-10T01:56:13Z
