season,franchise_id,city_raw,stage,position,wins,losses,note,confidence,source_id,source_url,retrieved_at,capture_date
2016,caciques_humacao,Humacao,,5,19,17,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,leones_ponce,Ponce,,6,18,18,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,brujos_guayama,Guayama,,7,18,18,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,piratas_quebradillas,Quebradillas,,8,18,18,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,atleticos_san_german,San German,,9,16,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,osos_manati,Manati,,10,15,21,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,indios_mayaguez,Mayaguez,,11,12,24,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2017,santeros_aguada,Aguada,,1,25,11,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,cariduros_fajardo,Fajardo,,2,23,13,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,piratas_quebradillas,Quebradillas,,3,20,16,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
