obs_source,player_raw,club_raw,season,bsnpr_id,canonical_name,match_method,club_check,confidence
player_season_leaders.csv,"Beard, Tanoka",Cariduros,2008,2490,"Beard, Tanoka",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Benson, Lee",Vaqueros,2008,1429,"Benson, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Benson, Lee",Gigantes,2009,1429,"Benson, Estadísticas Jugador",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Berdiel, Miguel Ali",Caciques,2010,1666,"Berdiel Aponte, Miguel Ali",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Brannen, Robert","Criollos, Caguas",2007,251,"Brannen, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Brignoni, Luis",Criollos,1986,1465,"Brignoni Alvarez, Luis",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Brown, Gilbert",Caciques,2012,2760,"Brown, Gilbert",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Brown, Gilbert",Caciques,2013,2760,"Brown, Gilbert",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Bryant, Marlyn",Criollos,2008,2479,"Bryant, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Buckner, Reggie",Cariduros,2018,12941,"Buckner, Reggie",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Carmona, Alejandro",,2007,37,"Carmona Sanchez, Alejandro",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Carmona, Alejandro",Gigantes,2008,37,"Carmona Sanchez, Alejandro",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Carmona, Alejandro",Gigantes,2009,37,"Carmona Sanchez, Alejandro",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Carmona, Alejandro",Brujos,2014,37,"Carmona Sanchez, Alejandro",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Caro, Ismael",,2007,932,"Caro Beltran, Ismael",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Caro, Ismael",Atleticos,2008,932,"Caro Beltran, Ismael",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Carrion, Jeffrey",Gallitos,1986,1023,"Carrion, Jeffrey",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Casiano, Eddie","Indios, Mayaguez",2007,498,"Casiano Ojeda, Eddie",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cintron, Raymond",Maratonistas,2014,2826,"Cintron Cortes, Raymond",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cintron, Raymond",Capitanes,2018,2826,"Cintron Cortes, Raymond",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Clavell, Gilberto",,2018,2701,"Clavell, Gilberto",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Clemente, Denis",Caciques,2013,2702,"Clemente, Denis",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Colon, Benjamin",Vaqueros,2018,2336,"Colon Mojica, Benjamin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Colon, Gabriel",Leones,2008,773,"Colon Gracia, Gabriel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Colon, Gabriel",Leones,2009,773,"Colon Gracia, Gabriel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Colon, Gabriel",Leones,2010,773,"Colon Gracia, Gabriel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Copeland, Donald",Atleticos,2010,2371,"Copeland Serra, Donald",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Coronado, Juan",Brujos,2013,2793,"Coronado, Juan",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cortes, David",Capitanes,2008,448,"Cortes Ruiz, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cortes, David",Capitanes,2010,448,"Cortes Ruiz, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cortes, David",Capitanes,2012,448,"Cortes Ruiz, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cortes, David",Capitanes,2014,448,"Cortes Ruiz, David",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cotto, Rubén",Indios,2012,2675,"Cotto, Rubén",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Cotto, Rubén",Indios,2014,2675,"Cotto, Rubén",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Cruz, Alvin",Gigantes,2009,74,"Cruz Torres, Alvin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Alvin",Leones,2010,74,"Cruz Torres, Alvin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Alvin",Piratas,2012,74,"Cruz Torres, Alvin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Alvin",Mets,2013,74,"Cruz Torres, Alvin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Alvin",Capitanes,2014,74,"Cruz Torres, Alvin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Rafael","Capitanes, Arecibo",2007,1895,"Cruz Lopez, Rafael",name+season_in_career,confirms,single-source
