bsnpr_id,season,team_raw,games,points,source_id,source_url,retrieved_at
2850,2015,"Brujos, Guayama",9,31,wayback_bsnpr_players,https://web.archive.org/web/20170715123631id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2850&e=,2026-09-08T14:58:50Z
2850,2016,"Indios, Mayaguez",35,366,wayback_bsnpr_players,https://web.archive.org/web/20170715123631id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2850&e=,2026-09-08T14:58:50Z
2850,2017,"Indios, Mayaguez",23,182,wayback_bsnpr_players,https://web.archive.org/web/20170715123631id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2850&e=,2026-09-08T14:58:50Z
2851,2013,"Piratas, Quebradillas",2,0,wayback_bsnpr_players,https://web.archive.org/web/20140122200608id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2851&e=,2026-09-08T14:58:52Z
2857,2013,"Vaqueros, Bayamon",9,119,wayback_bsnpr_players,https://web.archive.org/web/20171030093524id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2857,2026-09-08T14:58:54Z
2857,2014,"Caciques, Humacao",24,176,wayback_bsnpr_players,https://web.archive.org/web/20171030093524id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2857,2026-09-08T14:58:54Z
2857,2015,"Mets, Guaynabo",34,111,wayback_bsnpr_players,https://web.archive.org/web/20171030093524id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2857,2026-09-08T14:58:54Z
2857,2016,"Caciques, Humacao",13,41,wayback_bsnpr_players,https://web.archive.org/web/20171030093524id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2857,2026-09-08T14:58:54Z
2857,2016,"Piratas, Quebradillas",9,22,wayback_bsnpr_players,https://web.archive.org/web/20171030093524id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2857,2026-09-08T14:58:54Z
2858,2013,"Leones, Ponce",4,5,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2014,"Maratonistas, Coamo",17,37,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2015,"Atleticos, San German",42,135,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2016,"Cangrejeros, Santurce",11,17,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2017,"Caciques-Gallitos, Humacao-Isabela",4,19,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2017,"Piratas, Quebradillas",6,16,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2858,2017,"Vaqueros, Bayamon",17,33,wayback_bsnpr_players,https://web.archive.org/web/20170715121317id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2858&e=,2026-09-08T14:58:55Z
2859,2013,"Leones, Ponce",17,129,wayback_bsnpr_players,https://web.archive.org/web/20171006062151id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2859,2026-09-08T14:58:57Z
2859,2014,"Leones, Ponce",33,363,wayback_bsnpr_players,https://web.archive.org/web/20171006062151id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2859,2026-09-08T14:58:57Z
2859,2015,"Leones, Ponce",42,575,wayback_bsnpr_players,https://web.archive.org/web/20171006062151id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2859,2026-09-08T14:58:57Z
2859,2016,"Cangrejeros, Santurce",32,398,wayback_bsnpr_players,https://web.archive.org/web/20171006062151id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2859,2026-09-08T14:58:57Z
2859,2017,"Piratas, Quebradillas",35,650,wayback_bsnpr_players,https://web.archive.org/web/20171006062151id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2859,2026-09-08T14:58:57Z
2860,2013,"Brujos, Guayama",11,137,wayback_bsnpr_players,https://web.archive.org/web/20130614021741id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2860&e=13,2026-09-08T14:58:59Z
2863,2013,"Cangrejeros, Santurce",7,3,wayback_bsnpr_players,https://web.archive.org/web/20140122200628id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2863&e=,2026-09-08T14:59:01Z
2864,2013,"Cangrejeros, Santurce",7,68,wayback_bsnpr_players,https://web.archive.org/web/20160112145622id_/http://www.bsnpr.com/jugadores/jugador.asp?id=2864&e=,2026-09-08T14:59:03Z
2865,2013,"Mets, Guaynabo",4,9,wayback_bsnpr_players,https://web.archive.org/web/20130612084109id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2865&e=14,2026-09-08T14:59:05Z
2868,2013,"Mets, Guaynabo",3,54,wayback_bsnpr_players,https://web.archive.org/web/20130612083932id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2868&e=14,2026-09-08T14:59:07Z
2870,2013,"Capitanes, Arecibo",6,43,wayback_bsnpr_players,https://web.archive.org/web/20170715112607id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2870&e=,2026-09-08T14:59:09Z
2870,2017,"Caciques-Gallitos, Humacao-Isabela",5,26,wayback_bsnpr_players,https://web.archive.org/web/20170715112607id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2870&e=,2026-09-08T14:59:09Z
2880,2014,"Vaqueros, Bayamon",32,649,wayback_bsnpr_players,https://web.archive.org/web/20140805021440id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2880&e=0,2026-09-08T14:59:13Z
2881,2014,"Vaqueros, Bayamon",14,217,wayback_bsnpr_players,https://web.archive.org/web/20170715115825id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2881&e=,2026-09-08T14:59:15Z
2881,2015,"Piratas, Quebradillas",24,462,wayback_bsnpr_players,https://web.archive.org/web/20170715115825id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2881&e=,2026-09-08T14:59:15Z
2881,2017,"Caciques-Gallitos, Humacao-Isabela",3,45,wayback_bsnpr_players,https://web.archive.org/web/20170715115825id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2881&e=,2026-09-08T14:59:15Z
2883,2014,"Caciques, Humacao",4,2,wayback_bsnpr_players,https://web.archive.org/web/20170715121140id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2883&e=,2026-09-08T14:59:17Z
2883,2015,"Caciques, Humacao",10,12,wayback_bsnpr_players,https://web.archive.org/web/20170715121140id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2883&e=,2026-09-08T14:59:17Z
2883,2017,"Leones, Ponce",18,24,wayback_bsnpr_players,https://web.archive.org/web/20170715121140id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2883&e=,2026-09-08T14:59:17Z
2890,2014,"Brujos, Guayama",11,16,wayback_bsnpr_players,https://web.archive.org/web/20170715115830id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2890&e=,2026-09-08T14:59:19Z
2890,2017,"Cariduros, Fajardo",9,11,wayback_bsnpr_players,https://web.archive.org/web/20170715115830id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2890&e=,2026-09-08T14:59:19Z
2895,2014,"Cangrejeros, Santurce",17,19,wayback_bsnpr_players,https://web.archive.org/web/20170801070402id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2895&e=,2026-09-08T14:59:20Z
2895,2015,"Cangrejeros, Santurce",18,46,wayback_bsnpr_players,https://web.archive.org/web/20170801070402id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2895&e=,2026-09-08T14:59:20Z
2895,2016,"Cangrejeros, Santurce",28,46,wayback_bsnpr_players,https://web.archive.org/web/20170801070402id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2895&e=,2026-09-08T14:59:20Z
2895,2017,"Indios, Mayaguez",20,54,wayback_bsnpr_players,https://web.archive.org/web/20170801070402id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2895&e=,2026-09-08T14:59:20Z
2901,2014,"Maratonistas, Coamo",28,158,wayback_bsnpr_players,https://web.archive.org/web/20170811073242id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2901&e=,2026-09-08T14:59:22Z
2901,2015,"Cangrejeros, Santurce",8,18,wayback_bsnpr_players,https://web.archive.org/web/20170811073242id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2901&e=,2026-09-08T14:59:22Z
2901,2015,"Maratonistas, Coamo",1,0,wayback_bsnpr_players,https://web.archive.org/web/20170811073242id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2901&e=,2026-09-08T14:59:22Z
2901,2017,"Caciques-Gallitos, Humacao-Isabela",2,0,wayback_bsnpr_players,https://web.archive.org/web/20170811073242id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2901&e=,2026-09-08T14:59:22Z
2905,2014,"Atleticos, San German",19,383,wayback_bsnpr_players,https://web.archive.org/web/20170715120551id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2905&e=,2026-09-08T14:59:24Z
2913,2014,"Capitanes, Arecibo",13,13,wayback_bsnpr_players,https://web.archive.org/web/20170715121513id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2913&e=,2026-09-08T14:59:26Z
