bsnpr_id,notes_es,birthplace,roster_team,roster_year,jersey,source_id,source_url,retrieved_at
1462,Puede jugar ambas posiciones de delantero y hasta de escolta. Es fuerte y defensivo. Ha tenido una buena experiencia internacional jugando en Brasil y en otras ligas a nivel mundial. Nombrado Jugador mas Valioso en el 1996 con los Criollos de Caguas.,"Santurce, Puerto Rico",CAGUAS,2005,14,wayback_bsnpr_jugador05,https://web.archive.org/web/20050902103923id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462676RWYH&e=CAGUAS,2026-09-10T03:13:33Z
1466,Campeón en la competencia de donqueos en el Clásico de Estrellas 2004 en San Germán. Jugador que puede destacarse en la posición de delantero y escolta teniendo un gran brinco y un buen balance entre ofensiva y defensiva.,"San Juan, Puerto Rico",Santurce,2005,13,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322231357id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=XVBVQZAAGU&e=,2026-09-10T03:12:48Z
1498,"Buen jugador defensivo, ha demostrado una mejoría grande en la ofensiva. Puede jugar ambas posiciones de delantero pero su velocidad no le permite ser un delantero pequeño efectivo. Cuenta con un buen tiro a media distancia.","Rio Piedras, Puerto Rico",Santurce,2005,21,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322231130id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462776RX2U&e=,2026-09-10T03:13:40Z
1512,"Rivas es un delantero con mucha fortaleza en la pintura y buenas habilidades ofensivas dentro y fuera de la misma. Graduado de la Universidad de Western Illinois en donde promedió 12.0 puntos y 5.5 rebotes en su último año. Además de jugar en el BSN, ha jugado también en México (LNBP) y en Venezuela (LNB, LPB).","Bayamón, Puerto Rico",PONCE,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064728id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYO&e=PONCE,2026-09-10T03:14:19Z
1550,"Buen tirador de tres para su estatura, puede convertirse en una sorpresa para los Galitos y para el BSN proximamente. Buen balance entre ofensiva y defensa.","Camuy, Puerto Rico",ISABELA,2006,16,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119233821id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX2H&e=ISABELA,2026-09-10T03:27:25Z
1562,Jugador con un gran calibre y potencial. Excelente jugador ofensivo y defensivo que se puede desarrollar y ser un jugador con la capacidad de estar en la selección nacional pronto. En Southern Nazarene ha demostrado ser un jugador capaz de ser un gran anotador al igual que un gran jugador defensivo. En su tercer año (2002-2003) promedió 15.8 puntos y 11.6 rebotes mientras que en su último año (2003-2004) promedió 18.6 puntos y 12.5 rebotes. Fué nombrado al NAIA third team all-american.,"Bayamón, Puerto Rico",PONCE,2006,50,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235254id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462746RX1L&e=PONCE,2026-09-10T03:27:10Z
1570,,"Bayamon, Puerto Rico",BAYAMON,2005,11,wayback_bsnpr_jugador05,https://web.archive.org/web/20050415172714id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=LAZPZZSQHB&e=BAYAMON,2026-09-10T03:19:37Z
1575,"El 'expreso panameño ha sido nombrado mejor jugador defensa en las temporadas de 1984, 1985, 1987, 1988, 1991, 1993 y 1994. Líder en rebotes del BSN de todos los tiempos con 8,107 para un promedio de 11.8 por encuentro.","Panama City, Panama",ARECIBO,2006,,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235224id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462746RX1B&e=ARECIBO,2026-09-10T03:29:07Z
1590,Mejor porcentaje de tiro de tres de todos los tiempos. Jugador inteligente y bien defensivo.,New York,CAROLINA,2005,13,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064752id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZC&e=CAROLINA,2026-09-10T03:14:04Z
1628,"Jugador con gran potencial, buenas habilidades ofensiva y defensivas. Jugó cuatro años con la Universidad de Missouri-Kansas City en donde promedió en doble dígito en sus cuatros años de estadía. En su último año (2003-2004), promedió 23.4 puntos, 3.4 rebotes y 3.6 asistencias. Ha estado en el conference first team en el 2002 y 2003.",Kansas City,CAYEY,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050903181404id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=ZBCOCSGWCF&e=CAYEY,2026-09-10T03:11:50Z
