season,player_raw,team_raw,games,total_points,ppg,metric_era,note,confidence,source_id,source_url,retrieved_at,capture_date
1972,SAMMY BETANCOURT,SAN JUAN,27,726,26.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1973,NEFTALI RIVERA,QUEBRADILLAS,32,806,25.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1974,RAYMOND DALMAU,QUEBRADILLAS,32,799,25.0,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1975,SAMMY BETANCOURT,SAN JUAN,32,734,22.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1976,SAMMY BETANCOURT,SAN JUAN,32,702,21.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1977,GEORGIE TORRES,FAJARDO,32,963,30.1,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1978,GEORGIE TORRES,FAJARDO,27,787,29.1,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1979,GEORGIE TORRES,FAJARDO,30,987,32.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1980,MARIO MORALES,GUAYNABO,30,988,32.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1981,ROLANDO FRAZER,AIBONITO,31,1035,33.4,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1982,ROLANDO FRAZER,AIBONITO,33,1127,34.2,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1983,JIM MALDONADO,ARECIBO,33,1010,30.6,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1984,GEORGIE TORRES,FAJARDO,29,835,28.8,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1985,GEORGIE TORRES,FAJARDO,33,1007,33.5,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1986,GEORGIE TORRES,FAJARDO,33,983,29.7,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1987,GEORGIE TORRES,FAJARDO,30,1065,35.5,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1988,EDGAR LEON,FAJARDO,30,916,30.5,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1989,WESLEY CORREA,MOROVIS,30,926,30.9,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1990,EDGAR LEON,FAJARDO,30,954,31.8,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1991,EDWIN PELLOT,ISABELA,30,944,31.5,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1992,WESLEY CORREA,MOROVIS,33,865,26.2,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1993,MARIO MORALES,GUAYNABO,34,850,25.0,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1994,ORLANDO VEGA,QUEBRADILLAS,29,733,25.3,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1995,JOEL CURBELO,CAROLINA,31,790,25.5,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1996,EDDIE CASIANO,SAN GERMAN,33,849,25.7,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1997,EDDIE CASIANO,SAN GERMAN,30,799,26.6,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1998,ORLANDO VEGA,QUEBRADILLAS,29,724,25.0,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1999,ANTHONY FARMER,PONCE,29,680,23.4,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
2000,WILLIE SIMMS,MOROVIS,28,633,22.6,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
2001,CARL SIMPSON,CAROLINA,26,605,23.3,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
2002,ELIAS AYUSO,SAN GERMAN,29,703,24.2,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
2003,CARLOS ESCALERA,COAMO,29,719,24.8,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
2004,CHRISTIAN DALMAU,SAN GERMAN,29,697,24.0,ppg,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
